method,k,num_ingredients,num_recipes,duration,dataset_md5,pantry_md5,filter_pantry,filter_garnish,make_substitutes
greedy,24,25,24,0.09795737266540527,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
greedy,25,26,25,0.06956744194030762,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
random,1,1,1,0.3516428470611572,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
random,2,2,2,0.3720676898956299,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
random,3,3,3,0.3858377933502197,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
random,4,4,4,0.48655056953430176,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
random,5,5,4,0.5257596969604492,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
random,6,6,5,0.5644567012786865,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
random,7,7,5,0.6679093837738037,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
random,8,8,6,0.7131173610687256,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
random,9,9,8,0.803450345993042,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
random,10,10,9,0.8803369998931885,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
random,11,11,9,0.9211289882659912,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
random,12,12,8,0.9549837112426758,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
random,13,13,10,0.9330956935882568,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
random,14,14,10,1.0651111602783203,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
random,15,15,11,1.0492029190063477,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
random,16,16,11,1.234203577041626,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
random,17,17,12,1.2592942714691162,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
random,18,18,15,1.329355239868164,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
random,19,19,14,1.7563245296478271,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
random,20,20,14,1.475172758102417,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
random,21,21,15,1.4478654861450195,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
random,22,22,16,1.5619921684265137,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
random,23,23,17,1.6347403526306152,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
random,24,24,20,1.7297062873840332,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
random,25,25,20,1.9497714042663574,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
